0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
0.22382	0.21167	0.17521	0.12788	0.08809	0.07254	0.08809	0.12788	0.17521	0.21167	0.22382	
0.39986	0.37949	0.31837	0.23774	0.16872	0.14144	0.16872	0.23774	0.31837	0.37949	0.39986	
0.51648	0.49210	0.41896	0.32197	0.23802	0.20453	0.23802	0.32197	0.41896	0.49210	0.51648	
0.59250	0.56613	0.48702	0.38442	0.29675	0.26188	0.29675	0.38442	0.48702	0.56613	0.59250	
0.65136	0.62340	0.53953	0.43531	0.34965	0.31624	0.34965	0.43531	0.53953	0.62340	0.65136	
0.70819	0.67914	0.59201	0.48768	0.40570	0.37463	0.40570	0.48768	0.59201	0.67914	0.70819	
0.77038	0.74218	0.65756	0.55745	0.48059	0.45203	0.48059	0.55745	0.65756	0.74218	0.77038	
0.84059	0.81713	0.74675	0.66253	0.59746	0.57329	0.59746	0.66253	0.74675	0.81713	0.84059	
0.91814	0.90451	0.86362	0.81381	0.77463	0.75992	0.77463	0.81381	0.86362	0.90451	0.91814	
1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
