0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
0.02394	0.02392	0.02388	0.02380	0.02370	0.02356	0.02339	0.02320	0.02298	0.02273	0.02245	0.02215	0.02183	0.02148	0.02111	0.02072	0.02031	0.01988	0.01943	0.01898	0.01850	0.01802	0.01753	0.01703	0.01652	0.01601	0.01550	0.01499	0.01448	0.01398	0.01348	0.01299	0.01251	0.01204	0.01159	0.01115	0.01074	0.01034	0.00996	0.00961	0.00928	0.00898	0.00870	0.00846	0.00825	0.00806	0.00791	0.00779	0.00771	0.00766	0.00764	0.00766	0.00771	0.00779	0.00791	0.00806	0.00825	0.00846	0.00870	0.00898	0.00928	0.00961	0.00996	0.01034	0.01074	0.01115	0.01159	0.01204	0.01251	0.01299	0.01348	0.01398	0.01448	0.01499	0.01550	0.01601	0.01652	0.01703	0.01753	0.01802	0.01850	0.01898	0.01943	0.01988	0.02031	0.02072	0.02111	0.02148	0.02183	0.02215	0.02245	0.02273	0.02298	0.02320	0.02339	0.02356	0.02370	0.02380	0.02388	0.02392	0.02394	
0.04781	0.04778	0.04769	0.04754	0.04733	0.04706	0.04673	0.04634	0.04590	0.04540	0.04485	0.04425	0.04360	0.04291	0.04217	0.04139	0.04057	0.03971	0.03883	0.03791	0.03697	0.03600	0.03502	0.03402	0.03301	0.03199	0.03097	0.02995	0.02894	0.02793	0.02694	0.02596	0.02500	0.02407	0.02317	0.02229	0.02146	0.02066	0.01991	0.01921	0.01855	0.01795	0.01740	0.01691	0.01649	0.01612	0.01582	0.01558	0.01541	0.01531	0.01528	0.01531	0.01541	0.01558	0.01582	0.01612	0.01649	0.01691	0.01740	0.01795	0.01855	0.01921	0.01991	0.02066	0.02146	0.02229	0.02317	0.02407	0.02500	0.02596	0.02694	0.02793	0.02894	0.02995	0.03097	0.03199	0.03301	0.03402	0.03502	0.03600	0.03697	0.03791	0.03883	0.03971	0.04057	0.04139	0.04217	0.04291	0.04360	0.04425	0.04485	0.04540	0.04590	0.04634	0.04673	0.04706	0.04733	0.04754	0.04769	0.04778	0.04781	
0.07156	0.07152	0.07138	0.07115	0.07084	0.07043	0.06994	0.06936	0.06870	0.06796	0.06714	0.06624	0.06527	0.06423	0.06312	0.06196	0.06073	0.05946	0.05813	0.05676	0.05535	0.05391	0.05244	0.05095	0.04944	0.04792	0.04639	0.04486	0.04334	0.04184	0.04035	0.03889	0.03746	0.03606	0.03471	0.03341	0.03216	0.03097	0.02984	0.02879	0.02781	0.02691	0.02609	0.02536	0.02472	0.02417	0.02372	0.02336	0.02311	0.02296	0.02291	0.02296	0.02311	0.02336	0.02372	0.02417	0.02472	0.02536	0.02609	0.02691	0.02781	0.02879	0.02984	0.03097	0.03216	0.03341	0.03471	0.03606	0.03746	0.03889	0.04035	0.04184	0.04334	0.04486	0.04639	0.04792	0.04944	0.05095	0.05244	0.05391	0.05535	0.05676	0.05813	0.05946	0.06073	0.06196	0.06312	0.06423	0.06527	0.06624	0.06714	0.06796	0.06870	0.06936	0.06994	0.07043	0.07084	0.07115	0.07138	0.07152	0.07156	
0.09512	0.09506	0.09488	0.09458	0.09416	0.09362	0.09297	0.09220	0.09133	0.09034	0.08925	0.08806	0.08678	0.08540	0.08393	0.08238	0.08076	0.07906	0.07730	0.07549	0.07362	0.07170	0.06975	0.06777	0.06577	0.06375	0.06172	0.05969	0.05768	0.05568	0.05370	0.05176	0.04986	0.04800	0.04621	0.04448	0.04282	0.04124	0.03974	0.03834	0.03704	0.03584	0.03475	0.03378	0.03293	0.03220	0.03160	0.03113	0.03079	0.03059	0.03052	0.03059	0.03079	0.03113	0.03160	0.03220	0.03293	0.03378	0.03475	0.03584	0.03704	0.03834	0.03974	0.04124	0.04282	0.04448	0.04621	0.04800	0.04986	0.05176	0.05370	0.05568	0.05768	0.05969	0.06172	0.06375	0.06577	0.06777	0.06975	0.07170	0.07362	0.07549	0.07730	0.07906	0.08076	0.08238	0.08393	0.08540	0.08678	0.08806	0.08925	0.09034	0.09133	0.09220	0.09297	0.09362	0.09416	0.09458	0.09488	0.09506	0.09512	
0.11844	0.11836	0.11814	0.11776	0.11724	0.11657	0.11576	0.11481	0.11372	0.11250	0.11115	0.10967	0.10807	0.10636	0.10454	0.10262	0.10060	0.09849	0.09631	0.09405	0.09173	0.08935	0.08692	0.08446	0.08197	0.07946	0.07694	0.07442	0.07191	0.06942	0.06697	0.06455	0.06219	0.05988	0.05765	0.05549	0.05343	0.05146	0.04960	0.04785	0.04623	0.04474	0.04339	0.04218	0.04112	0.04021	0.03947	0.03888	0.03846	0.03821	0.03812	0.03821	0.03846	0.03888	0.03947	0.04021	0.04112	0.04218	0.04339	0.04474	0.04623	0.04785	0.04960	0.05146	0.05343	0.05549	0.05765	0.05988	0.06219	0.06455	0.06697	0.06942	0.07191	0.07442	0.07694	0.07946	0.08197	0.08446	0.08692	0.08935	0.09173	0.09405	0.09631	0.09849	0.10060	0.10262	0.10454	0.10636	0.10807	0.10967	0.11115	0.11250	0.11372	0.11481	0.11576	0.11657	0.11724	0.11776	0.11814	0.11836	0.11844	
0.14144	0.14135	0.14109	0.14064	0.14002	0.13923	0.13826	0.13713	0.13584	0.13438	0.13277	0.13101	0.12911	0.12707	0.12490	0.12262	0.12021	0.11771	0.11510	0.11241	0.10964	0.10681	0.10392	0.10099	0.09802	0.09502	0.09202	0.08902	0.08603	0.08306	0.08013	0.07725	0.07443	0.07168	0.06901	0.06644	0.06397	0.06163	0.05941	0.05732	0.05539	0.05361	0.05199	0.05055	0.04928	0.04820	0.04731	0.04661	0.04611	0.04581	0.04571	0.04581	0.04611	0.04661	0.04731	0.04820	0.04928	0.05055	0.05199	0.05361	0.05539	0.05732	0.05941	0.06163	0.06397	0.06644	0.06901	0.07168	0.07443	0.07725	0.08013	0.08306	0.08603	0.08902	0.09202	0.09502	0.09802	0.10099	0.10392	0.10681	0.10964	0.11241	0.11510	0.11771	0.12021	0.12262	0.12490	0.12707	0.12911	0.13101	0.13277	0.13438	0.13584	0.13713	0.13826	0.13923	0.14002	0.14064	0.14109	0.14135	0.14144	
0.16409	0.16399	0.16368	0.16316	0.16245	0.16153	0.16042	0.15911	0.15761	0.15593	0.15407	0.15204	0.14984	0.14749	0.14498	0.14233	0.13956	0.13666	0.13365	0.13054	0.12734	0.12406	0.12071	0.11732	0.11388	0.11042	0.10694	0.10346	0.10000	0.09656	0.09317	0.08983	0.08656	0.08337	0.08028	0.07730	0.07445	0.07173	0.06915	0.06674	0.06449	0.06243	0.06056	0.05888	0.05741	0.05616	0.05512	0.05431	0.05373	0.05338	0.05327	0.05338	0.05373	0.05431	0.05512	0.05616	0.05741	0.05888	0.06056	0.06243	0.06449	0.06674	0.06915	0.07173	0.07445	0.07730	0.08028	0.08337	0.08656	0.08983	0.09317	0.09656	0.10000	0.10346	0.10694	0.11042	0.11388	0.11732	0.12071	0.12406	0.12734	0.13054	0.13365	0.13666	0.13956	0.14233	0.14498	0.14749	0.14984	0.15204	0.15407	0.15593	0.15761	0.15911	0.16042	0.16153	0.16245	0.16316	0.16368	0.16399	0.16409	
0.18633	0.18621	0.18586	0.18528	0.18447	0.18344	0.18218	0.18070	0.17901	0.17711	0.17501	0.17271	0.17022	0.16756	0.16473	0.16174	0.15859	0.15531	0.15191	0.14839	0.14477	0.14105	0.13727	0.13342	0.12953	0.12561	0.12167	0.11773	0.11381	0.10991	0.10607	0.10228	0.09857	0.09496	0.09146	0.08808	0.08484	0.08175	0.07883	0.07609	0.07354	0.07120	0.06907	0.06717	0.06550	0.06408	0.06291	0.06199	0.06133	0.06093	0.06080	0.06093	0.06133	0.06199	0.06291	0.06408	0.06550	0.06717	0.06907	0.07120	0.07354	0.07609	0.07883	0.08175	0.08484	0.08808	0.09146	0.09496	0.09857	0.10228	0.10607	0.10991	0.11381	0.11773	0.12167	0.12561	0.12953	0.13342	0.13727	0.14105	0.14477	0.14839	0.15191	0.15531	0.15859	0.16174	0.16473	0.16756	0.17022	0.17271	0.17501	0.17711	0.17901	0.18070	0.18218	0.18344	0.18447	0.18528	0.18586	0.18621	0.18633	
0.20811	0.20798	0.20759	0.20695	0.20605	0.20490	0.20350	0.20186	0.19998	0.19787	0.19553	0.19298	0.19022	0.18726	0.18411	0.18078	0.17729	0.17364	0.16985	0.16594	0.16190	0.15778	0.15356	0.14928	0.14495	0.14058	0.13619	0.13180	0.12743	0.12309	0.11880	0.11458	0.11045	0.10642	0.10251	0.09874	0.09513	0.09168	0.08843	0.08537	0.08253	0.07991	0.07754	0.07542	0.07355	0.07197	0.07065	0.06963	0.06889	0.06845	0.06830	0.06845	0.06889	0.06963	0.07065	0.07197	0.07355	0.07542	0.07754	0.07991	0.08253	0.08537	0.08843	0.09168	0.09513	0.09874	0.10251	0.10642	0.11045	0.11458	0.11880	0.12309	0.12743	0.13180	0.13619	0.14058	0.14495	0.14928	0.15356	0.15778	0.16190	0.16594	0.16985	0.17364	0.17729	0.18078	0.18411	0.18726	0.19022	0.19298	0.19553	0.19787	0.19998	0.20186	0.20350	0.20490	0.20605	0.20695	0.20759	0.20798	0.20811	
