0	0	5	3.53341	3.53766
0.1	0.353341	5.33757	3.53341	3.37566
0.2	0.706681	5.65893	3.53341	3.21366
0.3	1.06002	5.9641	3.53341	3.05166
0.4	1.41336	6.25306	3.53341	2.88966
0.5	1.7667	6.52583	3.53341	2.72766
0.6	2.12004	6.7824	3.53341	2.56566
0.7	2.47338	7.02276	3.53341	2.40366
0.8	2.82672	7.24693	3.53341	2.24166
0.9	3.18006	7.45489	3.53341	2.07966
1	3.53341	7.64666	3.53341	1.91766
1.1	3.88675	7.82223	3.53341	1.75566
1.2	4.24009	7.98159	3.53341	1.59366
1.3	4.59343	8.12476	3.53341	1.43166
1.4	4.94677	8.25173	3.53341	1.26966
1.5	5.30011	8.36249	3.53341	1.10766
1.6	5.65345	8.45706	3.53341	0.945661
1.7	6.00679	8.53542	3.53341	0.783661
1.8	6.36013	8.59759	3.53341	0.621661
1.9	6.71347	8.64356	3.53341	0.459661
2	7.06681	8.67332	3.53341	0.297661
2.1	7.42015	8.68689	3.53341	0.135661
2.2	7.77349	8.68425	3.53341	-0.0263389
2.3	8.12683	8.66542	3.53341	-0.188339
2.4	8.48017	8.63039	3.53341	-0.350339
2.5	8.83351	8.57915	3.53341	-0.512339
2.6	9.18685	8.51172	3.53341	-0.674339
2.7	9.54019	8.42808	3.53341	-0.836339
2.8	9.89354	8.32825	3.53341	-0.998339
2.9	10.2469	8.21222	3.53341	-1.16034
3	10.6002	8.07998	3.53341	-1.32234
3.1	10.9536	7.93155	3.53341	-1.48434
3.2	11.3069	7.76692	3.53341	-1.64634
3.3	11.6602	7.58608	3.53341	-1.80834
3.4	12.0136	7.38905	3.53341	-1.97034
3.5	12.3669	7.17581	3.53341	-2.13234
3.6	12.7203	6.94638	3.53341	-2.29434
3.7	13.0736	6.70075	3.53341	-2.45634
3.8	13.4269	6.43891	3.53341	-2.61834
3.9	13.7803	6.16088	3.53341	-2.78034
4	14.1336	5.86664	3.53341	-2.94234
4.1	14.487	5.55621	3.53341	-3.10434
4.2	14.8403	5.22958	3.53341	-3.26634
4.3	15.1936	4.88674	3.53341	-3.42834
4.4	15.547	4.52771	3.53341	-3.59034
4.5	15.9003	4.15247	3.53341	-3.75234
4.6	16.2537	3.76104	3.53341	-3.91434
4.7	16.607	3.35341	3.53341	-4.07634
4.8	16.9603	2.92957	3.53341	-4.23834
4.9	17.3137	2.48954	3.53341	-4.40034
5	17.667	2.03331	3.53341	-4.56234
5.1	18.0204	1.56087	3.53341	-4.72434
5.2	18.3737	1.07224	3.53341	-4.88634
5.3	18.727	0.567404	3.53341	-5.04834
5.4	19.0804	0.0463698	3.53341	-5.21034
