0.00000	100.32756	1.00812	-5.98569	1.94487	100.00000	0.00000	101.29939	994.85599
0.10000	99.71819	1.11240	-6.02531	0.13400	99.99995	0.09578	100.34642	994.95256
0.20000	99.15129	1.05086	-5.23286	-1.23559	99.99982	0.19157	99.39336	995.04822
0.30000	98.67569	0.88978	-4.29771	-1.88870	99.99959	0.28735	98.44021	995.14297
0.40000	98.28538	0.68690	-3.54379	-2.12316	99.99927	0.38314	97.48697	995.23680
0.50000	97.96046	0.47120	-2.98276	-2.17157	99.99885	0.47892	96.53363	995.32972
0.60000	97.68409	0.25512	-2.56422	-2.14210	99.99835	0.57471	95.58021	995.42173
0.70000	97.44433	0.04381	-2.24465	-2.08105	99.99775	0.67049	94.62671	995.51283
0.80000	97.23287	-0.16072	-1.99420	-2.00850	99.99706	0.76627	93.67311	995.60301
0.90000	97.04385	-0.35781	-1.79313	-1.93339	99.99628	0.86205	92.71943	995.69228
1.00100	96.87141	-0.54930	-1.62681	-1.85898	99.99540	0.95879	91.75613	995.78151
1.10200	96.71431	-0.73343	-1.48821	-1.78781	99.99443	1.05553	90.79274	995.86981
1.20300	96.57008	-0.91057	-1.37089	-1.72053	99.99336	1.15227	89.82926	995.95718
1.30400	96.43683	-1.08112	-1.27025	-1.65727	99.99220	1.24900	88.86571	996.04362
1.40500	96.31305	-1.24547	-1.18290	-1.59791	99.99094	1.34574	87.90206	996.12912
1.50600	96.19752	-1.40402	-1.10633	-1.54223	99.98960	1.44247	86.93834	996.21369
1.60700	96.08927	-1.55711	-1.03860	-1.48994	99.98815	1.53920	85.97453	996.29733
1.70800	95.98748	-1.70509	-0.97824	-1.44078	99.98662	1.63593	85.01065	996.38004
1.80900	95.89146	-1.84825	-0.92406	-1.39447	99.98499	1.73266	84.04668	996.46182
1.91000	95.80064	-1.98686	-0.87514	-1.35077	99.98327	1.82939	83.08264	996.54266
2.01100	95.71453	-2.12118	-0.83073	-1.30945	99.98145	1.92612	82.11852	996.62257
2.11200	95.63270	-2.25144	-0.79020	-1.27032	99.97954	2.02284	81.15432	996.70155
2.21300	95.55479	-2.37786	-0.75305	-1.23318	99.97753	2.11956	80.19004	996.77959
2.31400	95.48049	-2.50061	-0.71886	-1.19786	99.97544	2.21628	79.22569	996.85670
2.41500	95.40950	-2.61988	-0.68728	-1.16423	99.97325	2.31300	78.26127	996.93288
2.51600	95.34158	-2.73584	-0.65801	-1.13215	99.97096	2.40972	77.29677	997.00813
2.61700	95.27651	-2.84862	-0.63079	-1.10150	99.96858	2.50643	76.33220	997.08244
2.71800	95.21409	-2.95838	-0.60541	-1.07217	99.96611	2.60314	75.36756	997.15582
2.81900	95.15416	-3.06524	-0.58169	-1.04407	99.96355	2.69985	74.40285	997.22827
2.92000	95.09654	-3.16932	-0.55944	-1.01710	99.96089	2.79656	73.43807	997.29978
3.02100	95.04111	-3.27073	-0.53855	-0.99120	99.95814	2.89326	72.47322	997.37036
3.12200	94.98772	-3.36958	-0.51888	-0.96628	99.95529	2.98996	71.50830	997.44000
3.22300	94.93626	-3.46595	-0.50032	-0.94228	99.95235	3.08666	70.54332	997.50872
3.32400	94.88662	-3.55995	-0.48278	-0.91915	99.94932	3.18335	69.57827	997.57650
3.42500	94.83870	-3.65165	-0.46617	-0.89683	99.94619	3.28005	68.61315	997.64334
3.52600	94.79242	-3.74113	-0.45043	-0.87526	99.94297	3.37673	67.64797	997.70925
3.62700	94.74769	-3.82848	-0.43547	-0.85441	99.93966	3.47342	66.68273	997.77423
3.72800	94.70443	-3.91375	-0.42124	-0.83423	99.93625	3.57010	65.71742	997.83827
3.82900	94.66258	-3.99701	-0.40769	-0.81468	99.93275	3.66678	64.75206	997.90138
3.93000	94.62206	-4.07833	-0.39476	-0.79573	99.92916	3.76346	63.78663	997.96356
4.03000	94.58320	-4.15699	-0.38253	-0.77753	99.92551	3.85917	62.83070	998.02420
4.13000	94.54553	-4.23386	-0.37084	-0.75985	99.92176	3.95489	61.87471	998.08392
4.23000	94.50901	-4.30898	-0.35964	-0.74268	99.91793	4.05059	60.91867	998.14273
4.33000	94.47359	-4.38241	-0.34891	-0.72597	99.91400	4.14630	59.96257	998.20063
4.43000	94.43922	-4.45419	-0.33861	-0.70971	99.90999	4.24200	59.00642	998.25760
4.53000	94.40585	-4.52436	-0.32872	-0.69388	99.90588	4.33770	58.05021	998.31366
4.63000	94.37346	-4.59298	-0.31921	-0.67846	99.90168	4.43339	57.09395	998.36881
4.73000	94.34200	-4.66007	-0.31006	-0.66343	99.89738	4.52908	56.13764	998.42304
4.83000	94.31144	-4.72568	-0.30125	-0.64877	99.89300	4.62476	55.18128	998.47635
