0.00000	0.00000	0.00000
0.05263	-491694331960544450885456237582379950696564383621747260884392444410982528039517971248942495434850679914718899162163694361856493157846205145883819208929638747424856112415002715377194599165495907160201717498618721806995153555522159442696029215092169225797632.00000	0.00003
0.10526	1269997384262753584391886764314636025498615381124545883552571414878958046218326944945720890325156258305261755185168724424361444511079822367874590209274515147487798601135946244242749988088126306224127251339749368401552902559349569469893049892601254100598784.00000	0.00008
0.15789	-2437371918154369570363078761251843242231003711132794439463640374491688793145458474852362872755052097840501823298957199455149810327095264795888810427322695289910453997833874381413862331757477924227647250325150091138136556487042580213990340735176671693373440.00000	0.00017
0.21053	4118350021544240114305734465742453339226764269003468160070222794932285762590445667588231779327605916648404062747488071487241029903030896767067923414677367642691163920776445371096700197375346952344295402603161221525654857426950909568732581205445388470845440.00000	0.00033
0.26316	-6458935200307593905277717048559143920297566864983846760217479885050599590762839870350564753929924191463145758582756096490803586355266798745371920016451944867256809737949229971296747705585646999851918799402920934111039206550350341387587715400540039015301120.00000	0.00059
0.31579	9622756358481428629051650104771624090071343779385698468128359168929548015042833905281618710855257528798359740841676686573132912038470663420701443698313246879277912456134899147568583009359708002083952884677872497916576462783994757822256853886897299648413696.00000	0.00102
0.36842	-13782158899307687510278492758996293458701145864952624037324371982171266576418350951457526702849962904327619657679300924868229404966185025635327680440232556268215740908125938973962171734112409099376850114050577370740111793703145760359189381294257111792877568.00000	0.00176
0.42105	19101787105218198644148253180853314930773344090518994253318519398695318157921022479329646463185484593405403590870831054973790903043884314475230869278495419661135036902290711770615554727907458468843804296780663634831265137909512413218566931025574076337881088.00000	0.00301
0.47368	-25711451462162607914534378155670842399329572850232342512759849047716117328277177284354220754292024076977014275707161960985602421547147751282740736507525072666805713532417390813628772786959588499398271176549455030266358123528074508032330758425408085614919680.00000	0.00513
0.52632	33664192157869030181424478646559643025081972971969859827804590379650763700750749714213539165285606575752860045664272449313910931688617731914270234816565313429579293459608481207423744574835850267700443540998551284048169987051495772347888292098391809061814272.00000	0.00872
0.57895	-42874474441758537976184328699519800463439418459036193277212410962709244421893927487628020934830749638347431401636712642085199553182783474684948592225657277139417104168501578483305138190809063469354552024109352690419168253329858814753372952165439104817823744.00000	0.01479
0.63158	53030444554061282991898936925279604596578737342152257825366573676959376170571525898250494037030298683968656387597631424472646487524145730532678137219891108018669526120952899373052427639096955473232749287044038153391264064581606948318741684868006502792691712.00000	0.02507
0.68421	-63473246359887807374648404299647799333669634505523628597434323613050938194722630986835912622947551249358611874867505029949290168196471271287165046503599281579800305588782993955150172403432724368325562040391515198666568171829050944867155295334669323725701120.00000	0.04247
0.73684	73035726667470635205659251184918198152568517295848966095889328909893022958482456327919461364378343787709021245294585052711601556460518748320331842008358984412286366963084145873654507120466505706955771833082518442073200785060204888615562610519185348559372288.00000	0.07192
0.78947	-79832712933898427301205206299229347534588553650919035640407243386434283445098108710799121420522167470763046563781234705126283626920441480684611133930535918459913472699723379592642659517997382397238906804211689039483162493871924180321831906428720220681011200.00000	0.12177
0.84211	80995826679789303796123934395708502472513510827059867369328097048548828026341005877045021679096889371704217404309143614668747210018706903810824030898044669041042190583470468174082565858257705847799338203825792966373353861897812487808292937002388688549707776.00000	0.20616
0.89474	-72348056940248629229702719169155310759126607137908396126230028232855730169073151427686185711908979722933966159017162019712917215078711663281980426493831382795677714816404856925945196971098169313766131782069407369157468075095863678938908808449091211997741056.00000	0.34899
0.94737	48017821543821739549461640356938741947096921154756524626515320138063127201519642262464539294103467225363081303626318446163451205389560219735155672279947020944812276284093797079670054063847531600616894448271358159929085526496754768101508272590549135623454720.00000	0.59076
1.00000	1.00000	1.00000
